Date,Close
1995-01-01,405.329987
1995-02-01,432.5
1995-03-01,447.14999400000005
1995-04-01,469.55999800000006
1995-05-01,488.10000599999995
1995-06-01,538.030029
1995-07-01,568.880005
1995-08-01,576.77002
1995-09-01,585.080017
1995-10-01,598.780029
1995-11-01,593.719971
1995-12-01,576.22998
1996-01-01,591.820007
1996-02-01,622.830017
1996-03-01,609.6900019999999
1996-04-01,666.72998
1996-05-01,692.3900150000001
1996-06-01,677.299988
1996-07-01,636.01001
1996-08-01,663.570007
1996-09-01,737.570007
1996-10-01,751.98999
1996-11-01,834.01001
1996-12-01,821.3599849999999
1997-01-01,921.5499880000001
1997-02-01,850.4600220000001
1997-03-01,797.0599980000001
1997-04-01,874.73999
1997-05-01,958.849976
1997-06-01,957.2999880000001
1997-07-01,1107.030029
1997-08-01,1074.050049
1997-09-01,1097.160034
1997-10-01,1019.6199949999999
1997-11-01,1050.51001
1997-12-01,990.830017
1998-01-01,1071.130005
1998-02-01,1194.130005
1998-03-01,1220.660034
1998-04-01,1248.119995
1998-05-01,1192.069946
1998-06-01,1337.339966
1998-07-01,1377.26001
1998-08-01,1140.339966
1998-09-01,1345.47998
1998-10-01,1400.52002
1998-11-01,1557.959961
1998-12-01,1836.0100100000002
1999-01-01,2127.189941
1999-02-01,1925.280029
1999-03-01,2106.389893
1999-04-01,2136.389893
1999-05-01,2089.699951
1999-06-01,2296.77002
1999-07-01,2270.929932
1999-08-01,2396.8701170000004
1999-09-01,2407.899902
1999-10-01,2637.439941
1999-11-01,2966.709961
1999-12-01,3707.830078
2000-01-01,3570.0500490000004
2000-02-01,4266.939941
2000-03-01,4397.839844
2000-04-01,3773.179932
2000-05-01,3324.080078
2000-06-01,3763.790039
2000-07-01,3609.350098
2000-08-01,4077.5900880000004
2000-09-01,3570.610107
2000-10-01,3282.300049
2000-11-01,2506.540039
2000-12-01,2341.699951
2001-01-01,2593.0
2001-02-01,1908.319946
2001-03-01,1573.25
2001-04-01,1855.1500239999998
2001-05-01,1799.890015
2001-06-01,1830.189941
2001-07-01,1683.609985
2001-08-01,1469.699951
2001-09-01,1168.369995
2001-10-01,1364.780029
2001-11-01,1596.050049
2001-12-01,1577.050049
2002-01-01,1550.170044
2002-02-01,1359.219971
2002-03-01,1452.810059
2002-04-01,1277.069946
2002-05-01,1208.339966
2002-06-01,1051.410034
2002-07-01,962.099976
2002-08-01,942.3800050000001
2002-09-01,832.52002
2002-10-01,989.5399779999999
2002-11-01,1116.099976
2002-12-01,984.3699949999999
2003-01-01,983.0499880000001
2003-02-01,1009.73999
2003-03-01,1018.659973
2003-04-01,1106.060059
2003-05-01,1197.890015
2003-06-01,1201.689941
2003-07-01,1276.939941
2003-08-01,1341.199951
2003-09-01,1303.699951
2003-10-01,1416.390015
2003-11-01,1424.25
2003-12-01,1467.920044
2004-01-01,1493.079956
2004-02-01,1470.380005
2004-03-01,1438.410034
2004-04-01,1401.359985
2004-05-01,1466.219971
2004-06-01,1516.640015
2004-07-01,1400.390015
2004-08-01,1368.680054
2004-09-01,1412.73999
2004-10-01,1486.719971
2004-11-01,1571.5
2004-12-01,1621.119995
2005-01-01,1519.630005
2005-02-01,1511.02002
2005-03-01,1482.530029
2005-04-01,1420.790039
2005-05-01,1542.630005
2005-06-01,1493.52002
2005-07-01,1605.140015
2005-08-01,1581.709961
2005-09-01,1601.660034
2005-10-01,1579.180054
2005-11-01,1672.560059
